,Unnamed: 0,มหาวิทยาลัย,หลักสูตร,หลักสูตรEng,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,คณะ,สาขา,ค่าใช้จ่ายที่ปรับแล้ว,img,latitude,longitude
35,35,มหาวิทยาลัยราชภัฏอุบลราชธานี,วศ.บ.วิศวกรรมคอมพิวเตอร์และเครือข่าย,Computer and Network Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,72610,คณะเทคโนโลยีอุตสาหกรรม,วิศวกรรมคอมพิวเตอร์,9076,https://assets.mytcas.com/i/logo/171.png,15.244744443907958,104.8473267819831
36,37,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,20000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,20000,https://assets.mytcas.com/i/logo/191.png,14.03990944809108,100.7278195749447
37,38,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,วศ.บ. (วิศวกรรมคอมพิวเตอร์และระบบไอโอที),B.Eng. (Computer Engineering and IoT System),ภาษาไทย ปกติ,วิทยาเขตหลัก,16120,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,16120,https://assets.mytcas.com/i/logo/192.png,13.721956083435284,100.53466611351801
38,39,มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,วศ.บ. วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,พระนครเหนือ,15000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,15000,https://assets.mytcas.com/i/logo/194.png,13.817264744738848,100.51309132964407
39,40,มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,วศ.บ.  วิศวกรรมคอมพิวเตอร์ 4 ปี,BachelorofEngineering(B.Eng.),ภาษาไทย ปกติ,ศาลายา,15000,คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,15000,https://assets.mytcas.com/i/logo/195.png,13.796264195939106,100.30078561061238
40,41,มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,อส.บ. เทคโนโลยีวิศวกรรมคอมพิวเตอร์ 4 ปี,BachelorofIndustrialTechnology(B.Ind.Tech.),ภาษาไทย ปกติ,วังไกลกังวล,15000,คณะอุตสาหกรรมและเทคโนโลยี,วิศวกรรมคอมพิวเตอร์,15000,https://assets.mytcas.com/i/logo/195.png,12.521398674379547,99.96146268175016
41,42,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,วศ.บ. วิศวกรรมคอมพิวเตอร์,Computer Engineering,ภาษาไทย ปกติ,สงขลา,"110,000",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,13750,https://assets.mytcas.com/i/logo/197.png,7.680636826916104,100.58680269372944
42,43,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล,Artificial Intelligence and Digital Innovation Engineering,ภาษาไทย ปกติ,สงขลา,"110,000",คณะวิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,13750,https://assets.mytcas.com/i/logo/197.png,7.680349810352526,100.58562191012076
43,44,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,วศ.บ. วิศวกรรมคอมพิวเตอร์และการสื่อสาร,Information and Communication Engineering,ภาษาไทย ปกติ,ตรัง,"110,000",คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมคอมพิวเตอร์,13750,https://assets.mytcas.com/i/logo/197.png,7.582668645484762,99.34925655653048
44,45,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,วศ.บ.วิศวกรรมคอมพิวเตอร์,Programin Computer Engineering,ภาษาไทย ปกติ,นครราชสีมา,12000,คณะวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมคอมพิวเตอร์,12000,https://assets.mytcas.com/i/logo/199.png,14.986235624677986,102.11764891340992
